date,client,portfolio,stock
July-2025,Wilson Asset Management,WAX,SSM
July-2025,Wilson Asset Management,WAX,SUM
July-2025,Wilson Asset Management,WAX,TNE
July-2025,Wilson Asset Management,WAX,TUA
July-2025,Wilson Asset Management,WAX,WEB
July-2025,Wilson Asset Management,WLE,A2M
July-2025,Wilson Asset Management,WLE,ALL
July-2025,Wilson Asset Management,WLE,ANZ
July-2025,Wilson Asset Management,WLE,BHP
July-2025,Wilson Asset Management,WLE,COL
July-2025,Wilson Asset Management,WLE,CSL
July-2025,Wilson Asset Management,WLE,GMG
July-2025,Wilson Asset Management,WLE,IAG
July-2025,Wilson Asset Management,WLE,MQG
July-2025,Wilson Asset Management,WLE,NAB
July-2025,Wilson Asset Management,WLE,NXT
July-2025,Wilson Asset Management,WLE,QBE
July-2025,Wilson Asset Management,WLE,RIO
July-2025,Wilson Asset Management,WLE,SPK
July-2025,Wilson Asset Management,WLE,WBC
July-2025,Wilson Asset Management,WLE,WDS
July-2025,Wilson Asset Management,WLE,WES
July-2025,Wilson Asset Management,WLE,WOW
July-2025,Wilson Asset Management,WLE,WTC
July-2025,Wilson Asset Management,WLE,XRO
July-2025,Wilson Asset Management,WMI,AFG
July-2025,Wilson Asset Management,WMI,ASG
July-2025,Wilson Asset Management,WMI,COG
July-2025,Wilson Asset Management,WMI,EML
July-2025,Wilson Asset Management,WMI,EOL
July-2025,Wilson Asset Management,WMI,FCL
July-2025,Wilson Asset Management,WMI,GNP
July-2025,Wilson Asset Management,WMI,KLS
July-2025,Wilson Asset Management,WMI,NZM
July-2025,Wilson Asset Management,WMI,PGC
July-2025,Wilson Asset Management,WMI,PLT
July-2025,Wilson Asset Management,WMI,QAL
July-2025,Wilson Asset Management,WMI,QOR
July-2025,Wilson Asset Management,WMI,REG
July-2025,Wilson Asset Management,WMI,RPL
July-2025,Wilson Asset Management,WMI,SMP
July-2025,Wilson Asset Management,WMI,TEA
July-2025,Wilson Asset Management,WMI,TUA
July-2025,Wilson Asset Management,WMI,ZIP
July-2025,Wilson Asset Management,WMX,A2M
July-2025,Wilson Asset Management,WMX,ALL
July-2025,Wilson Asset Management,WMX,ANZ
July-2025,Wilson Asset Management,WMX,BHP
July-2025,Wilson Asset Management,WMX,CSL
July-2025,Wilson Asset Management,WMX,GMG
July-2025,Wilson Asset Management,WMX,NXT
July-2025,Wilson Asset Management,WMX,RIO
July-2025,Wilson Asset Management,WMX,WOW
July-2025,Wilson Asset Management,WMX,WTC
Aug-2025,Wilson Asset Management,WAA,A2M
Aug-2025,Wilson Asset Management,WAA,AFG
Aug-2025,Wilson Asset Management,WAA,APZ
Aug-2025,Wilson Asset Management,WAA,AYA
Aug-2025,Wilson Asset Management,WAA,BBT
Aug-2025,Wilson Asset Management,WAA,CTD
Aug-2025,Wilson Asset Management,WAA,ELD
Aug-2025,Wilson Asset Management,WAA,ERD
Aug-2025,Wilson Asset Management,WAA,HVN
Aug-2025,Wilson Asset Management,WAA,IPX
Aug-2025,Wilson Asset Management,WAA,KBC
Aug-2025,Wilson Asset Management,WAA,LYC
Aug-2025,Wilson Asset Management,WAA,MGH
Aug-2025,Wilson Asset Management,WAA,MP1
Aug-2025,Wilson Asset Management,WAA,MTO
Aug-2025,Wilson Asset Management,WAA,NWH
Aug-2025,Wilson Asset Management,WAA,QOR
Aug-2025,Wilson Asset Management,WAA,TAH
Aug-2025,Wilson Asset Management,WAA,TPW
Aug-2025,Wilson Asset Management,WAA,TUA
Aug-2025,Wilson Asset Management,WAM,A2M
Aug-2025,Wilson Asset Management,WAM,ALQ
Aug-2025,Wilson Asset Management,WAM,APE
Aug-2025,Wilson Asset Management,WAM,CKF
Aug-2025,Wilson Asset Management,WAM,CTD
Aug-2025,Wilson Asset Management,WAM,EML
Aug-2025,Wilson Asset Management,WAM,GDG
Aug-2025,Wilson Asset Management,WAM,GLF
Aug-2025,Wilson Asset Management,WAM,GTK
Aug-2025,Wilson Asset Management,WAM,HVN
Aug-2025,Wilson Asset Management,WAM,IDX
Aug-2025,Wilson Asset Management,WAM,INA
Aug-2025,Wilson Asset Management,WAM,JDO
Aug-2025,Wilson Asset Management,WAM,MGH
Aug-2025,Wilson Asset Management,WAM,MP1
Aug-2025,Wilson Asset Management,WAM,OML
Aug-2025,Wilson Asset Management,WAM,TPW
Aug-2025,Wilson Asset Management,WAM,TUA
Aug-2025,Wilson Asset Management,WAM,WEB
Aug-2025,Wilson Asset Management,WAM,ZIP
Aug-2025,Wilson Asset Management,WAR,AOF
Aug-2025,Wilson Asset Management,WAR,CD2
Aug-2025,Wilson Asset Management,WAR,CD3
Aug-2025,Wilson Asset Management,WAR,CIN
Aug-2025,Wilson Asset Management,WAR,LRK
Aug-2025,Wilson Asset Management,WAR,LRT
Aug-2025,Wilson Asset Management,WAR,LSF
Aug-2025,Wilson Asset Management,WAR,NGE
Aug-2025,Wilson Asset Management,WAR,NSC
Aug-2025,Wilson Asset Management,WAR,OPH
Aug-2025,Wilson Asset Management,WAR,PIA
Aug-2025,Wilson Asset Management,WAR,PIC
Aug-2025,Wilson Asset Management,WAR,PMC
Aug-2025,Wilson Asset Management,WAR,RG8
Aug-2025,Wilson Asset Management,WAR,SB2
Aug-2025,Wilson Asset Management,WAR,TEK
Aug-2025,Wilson Asset Management,WAR,VG1
Aug-2025,Wilson Asset Management,WAR,WGB
Aug-2025,Wilson Asset Management,WAR,WQG
Aug-2025,Wilson Asset Management,WAX,CKF
Aug-2025,Wilson Asset Management,WAX,EOL
Aug-2025,Wilson Asset Management,WAX,EVT
Aug-2025,Wilson Asset Management,WAX,GDG
Aug-2025,Wilson Asset Management,WAX,GLF
Aug-2025,Wilson Asset Management,WAX,GTK
Aug-2025,Wilson Asset Management,WAX,IDX
Aug-2025,Wilson Asset Management,WAX,JDO
Aug-2025,Wilson Asset Management,WAX,LOV
Aug-2025,Wilson Asset Management,WAX,MGH
Aug-2025,Wilson Asset Management,WAX,MYR
Aug-2025,Wilson Asset Management,WAX,PGC
Aug-2025,Wilson Asset Management,WAX,QOR
Aug-2025,Wilson Asset Management,WAX,REG
Aug-2025,Wilson Asset Management,WAX,RIC
Aug-2025,Wilson Asset Management,WAX,SNL
Aug-2025,Wilson Asset Management,WAX,SSM
Aug-2025,Wilson Asset Management,WAX,TPW
Aug-2025,Wilson Asset Management,WAX,TUA
Aug-2025,Wilson Asset Management,WAX,WEB
Aug-2025,Wilson Asset Management,WLE,ALD
Aug-2025,Wilson Asset Management,WLE,ALL
Aug-2025,Wilson Asset Management,WLE,ANZ
Aug-2025,Wilson Asset Management,WLE,APA
Aug-2025,Wilson Asset Management,WLE,BHP
Aug-2025,Wilson Asset Management,WLE,COL
Aug-2025,Wilson Asset Management,WLE,CSL
Aug-2025,Wilson Asset Management,WLE,GMG
Aug-2025,Wilson Asset Management,WLE,IAG
Aug-2025,Wilson Asset Management,WLE,MPL
Aug-2025,Wilson Asset Management,WLE,NAB
Aug-2025,Wilson Asset Management,WLE,NXT
Aug-2025,Wilson Asset Management,WLE,ORA
Aug-2025,Wilson Asset Management,WLE,QAN
Aug-2025,Wilson Asset Management,WLE,RIO
Aug-2025,Wilson Asset Management,WLE,SPK
Aug-2025,Wilson Asset Management,WLE,TLS
Aug-2025,Wilson Asset Management,WLE,WBC
Aug-2025,Wilson Asset Management,WLE,WDS
Aug-2025,Wilson Asset Management,WLE,WTC
Aug-2025,Wilson Asset Management,WMI,AFG
Aug-2025,Wilson Asset Management,WMI,ASG
Aug-2025,Wilson Asset Management,WMI,BLX
Aug-2025,Wilson Asset Management,WMI,CWP
Aug-2025,Wilson Asset Management,WMI,EML
Aug-2025,Wilson Asset Management,WMI,EOL
Aug-2025,Wilson Asset Management,WMI,FCL
Aug-2025,Wilson Asset Management,WMI,GDG
Aug-2025,Wilson Asset Management,WMI,GNP
Aug-2025,Wilson Asset Management,WMI,KLS
Aug-2025,Wilson Asset Management,WMI,PLT
Aug-2025,Wilson Asset Management,WMI,QAL
Aug-2025,Wilson Asset Management,WMI,QOR
Aug-2025,Wilson Asset Management,WMI,RPL
Aug-2025,Wilson Asset Management,WMI,SMP
Aug-2025,Wilson Asset Management,WMI,TEA
Aug-2025,Wilson Asset Management,WMI,TRA
Aug-2025,Wilson Asset Management,WMI,TUA
Aug-2025,Wilson Asset Management,WMI,TYR
Aug-2025,Wilson Asset Management,WMI,ZIP
Aug-2025,Wilson Asset Management,WMX,ALD
Aug-2025,Wilson Asset Management,WMX,ANZ
Aug-2025,Wilson Asset Management,WMX,APA
Aug-2025,Wilson Asset Management,WMX,BHP
Aug-2025,Wilson Asset Management,WMX,COL
Aug-2025,Wilson Asset Management,WMX,GMG
Aug-2025,Wilson Asset Management,WMX,IAG
Aug-2025,Wilson Asset Management,WMX,RIO
Aug-2025,Wilson Asset Management,WMX,TUA
Aug-2025,Wilson Asset Management,WMX,WTC
Sep-2025,Wilson Asset Management,WAA,ABB
Sep-2025,Wilson Asset Management,WAA,AYA
Sep-2025,Wilson Asset Management,WAA,BBT
Sep-2025,Wilson Asset Management,WAA,CTD
Sep-2025,Wilson Asset Management,WAA,ERD
Sep-2025,Wilson Asset Management,WAA,GTK
Sep-2025,Wilson Asset Management,WAA,KBC
Sep-2025,Wilson Asset Management,WAA,LIN
Sep-2025,Wilson Asset Management,WAA,MAF
Sep-2025,Wilson Asset Management,WAA,MP1
Sep-2025,Wilson Asset Management,WAA,MTM
Sep-2025,Wilson Asset Management,WAA,MTO
Sep-2025,Wilson Asset Management,WAA,PDN
Sep-2025,Wilson Asset Management,WAA,PFP
Sep-2025,Wilson Asset Management,WAA,QOR
Sep-2025,Wilson Asset Management,WAA,RPL
Sep-2025,Wilson Asset Management,WAA,SDR
Sep-2025,Wilson Asset Management,WAA,SLX
Sep-2025,Wilson Asset Management,WAA,TEA
Sep-2025,Wilson Asset Management,WAA,ZIP
Sep-2025,Wilson Asset Management,WAM,360
Sep-2025,Wilson Asset Management,WAM,A2M
Sep-2025,Wilson Asset Management,WAM,ALQ
Sep-2025,Wilson Asset Management,WAM,CAR
Sep-2025,Wilson Asset Management,WAM,CKF
Sep-2025,Wilson Asset Management,WAM,CTD
Sep-2025,Wilson Asset Management,WAM,EML
Sep-2025,Wilson Asset Management,WAM,GDG
Sep-2025,Wilson Asset Management,WAM,GLF
Sep-2025,Wilson Asset Management,WAM,GTK
Sep-2025,Wilson Asset Management,WAM,HUB
Sep-2025,Wilson Asset Management,WAM,IDX
Sep-2025,Wilson Asset Management,WAM,INA
Sep-2025,Wilson Asset Management,WAM,MGH
Sep-2025,Wilson Asset Management,WAM,MP1
Sep-2025,Wilson Asset Management,WAM,SSM
Sep-2025,Wilson Asset Management,WAM,TPW
Sep-2025,Wilson Asset Management,WAM,TUA
Sep-2025,Wilson Asset Management,WAM,WEB
Sep-2025,Wilson Asset Management,WAM,ZIP
Sep-2025,Wilson Asset Management,WAR,AOF
Sep-2025,Wilson Asset Management,WAR,CD3
Sep-2025,Wilson Asset Management,WAR,CIN
Sep-2025,Wilson Asset Management,WAR,CIW
Sep-2025,Wilson Asset Management,WAR,GDC
Sep-2025,Wilson Asset Management,WAR,LRK
Sep-2025,Wilson Asset Management,WAR,LRT
Sep-2025,Wilson Asset Management,WAR,LSF
Sep-2025,Wilson Asset Management,WAR,NGE
Sep-2025,Wilson Asset Management,WAR,NSC
Sep-2025,Wilson Asset Management,WAR,OPH
Sep-2025,Wilson Asset Management,WAR,PIA
Sep-2025,Wilson Asset Management,WAR,PIC
Sep-2025,Wilson Asset Management,WAR,RG8
Sep-2025,Wilson Asset Management,WAR,SB2
Sep-2025,Wilson Asset Management,WAR,SOL
Sep-2025,Wilson Asset Management,WAR,TEK
Sep-2025,Wilson Asset Management,WAR,VG1
Sep-2025,Wilson Asset Management,WAR,WGB
Sep-2025,Wilson Asset Management,WAR,WQG
Sep-2025,Wilson Asset Management,WAX,BLX
Sep-2025,Wilson Asset Management,WAX,CKF
Sep-2025,Wilson Asset Management,WAX,EOL
Sep-2025,Wilson Asset Management,WAX,GDG
Sep-2025,Wilson Asset Management,WAX,GLF
Sep-2025,Wilson Asset Management,WAX,GTK
Sep-2025,Wilson Asset Management,WAX,IDX
Sep-2025,Wilson Asset Management,WAX,JDO
Sep-2025,Wilson Asset Management,WAX,LOV
Sep-2025,Wilson Asset Management,WAX,MGH
Sep-2025,Wilson Asset Management,WAX,MP1
Sep-2025,Wilson Asset Management,WAX,PGC
Sep-2025,Wilson Asset Management,WAX,PNI
Sep-2025,Wilson Asset Management,WAX,RIC
Sep-2025,Wilson Asset Management,WAX,SOL
Sep-2025,Wilson Asset Management,WAX,SSM
Sep-2025,Wilson Asset Management,WAX,TNE
Sep-2025,Wilson Asset Management,WAX,TPW
Sep-2025,Wilson Asset Management,WAX,TUA
Sep-2025,Wilson Asset Management,WAX,WEB
Sep-2025,Wilson Asset Management,WLE,A2M
Sep-2025,Wilson Asset Management,WLE,ALL
Sep-2025,Wilson Asset Management,WLE,ANZ
Sep-2025,Wilson Asset Management,WLE,BHP
Sep-2025,Wilson Asset Management,WLE,CGF
Sep-2025,Wilson Asset Management,WLE,COL
Sep-2025,Wilson Asset Management,WLE,CSL
Sep-2025,Wilson Asset Management,WLE,GMG
Sep-2025,Wilson Asset Management,WLE,MGR
Sep-2025,Wilson Asset Management,WLE,MQG
Sep-2025,Wilson Asset Management,WLE,NAB
Sep-2025,Wilson Asset Management,WLE,ORA
Sep-2025,Wilson Asset Management,WLE,QAN
Sep-2025,Wilson Asset Management,WLE,RIO
Sep-2025,Wilson Asset Management,WLE,RMD
Sep-2025,Wilson Asset Management,WLE,SGP
Sep-2025,Wilson Asset Management,WLE,SOL
Sep-2025,Wilson Asset Management,WLE,TLS
Sep-2025,Wilson Asset Management,WLE,WBC
Sep-2025,Wilson Asset Management,WLE,WTC
Sep-2025,Wilson Asset Management,WMI,AFG
Sep-2025,Wilson Asset Management,WMI,AIM
Sep-2025,Wilson Asset Management,WMI,ASG
Sep-2025,Wilson Asset Management,WMI,BLX
Sep-2025,Wilson Asset Management,WMI,COG
Sep-2025,Wilson Asset Management,WMI,EML
Sep-2025,Wilson Asset Management,WMI,EOL
Sep-2025,Wilson Asset Management,WMI,ERD
Sep-2025,Wilson Asset Management,WMI,FCL
Sep-2025,Wilson Asset Management,WMI,GDG
Sep-2025,Wilson Asset Management,WMI,GNP
Sep-2025,Wilson Asset Management,WMI,KLS
Sep-2025,Wilson Asset Management,WMI,PLT
Sep-2025,Wilson Asset Management,WMI,QAL
Sep-2025,Wilson Asset Management,WMI,QOR
Sep-2025,Wilson Asset Management,WMI,RPL
Sep-2025,Wilson Asset Management,WMI,SMP
Sep-2025,Wilson Asset Management,WMI,TRA
Sep-2025,Wilson Asset Management,WMI,TUA
Sep-2025,Wilson Asset Management,WMI,ZIP
Sep-2025,Wilson Asset Management,WMX,ANZ
Sep-2025,Wilson Asset Management,WMX,BHP
Sep-2025,Wilson Asset Management,WMX,CGF
Sep-2025,Wilson Asset Management,WMX,CSL
Sep-2025,Wilson Asset Management,WMX,NAB
Sep-2025,Wilson Asset Management,WMX,ORA
Sep-2025,Wilson Asset Management,WMX,RIO
Sep-2025,Wilson Asset Management,WMX,SGP
Sep-2025,Wilson Asset Management,WMX,WBC
Sep-2025,Wilson Asset Management,WMX,WTC
